road_type,issue_type,environment,speed_range_min,speed_range_max,traffic_range_min,traffic_range_max,problem,causes,risk_score,interventions
highway,collision,dayClear,80,120,7,10,"High-speed rear-end collision risk","Tailgating at high speeds|Driver distraction|Inadequate following distance",85,"Install rumble strips|Increase signage for safe following distances|Implement variable speed limits"
residential,pedestrian,nightClear,30,50,3,6,"Pedestrian visibility concerns","Insufficient street lighting|Lack of crosswalks|Driver inattention",70,"Install LED street lighting|Add pedestrian crossing signs|Implement speed bumps near schools"
rural,hazard,fog,50,80,2,5,"Reduced visibility leading to off-road incidents","Dense fog reducing visibility|Lack of reflective road markers|Absence of fog warning systems",75,"Install reflective road markers|Add fog detection systems|Improve roadside barriers"
arterial,nearMiss,dayRain,40,70,6,9,"Hydroplaning risk at intersections","Inadequate drainage|Worn tire treads|Excessive speed in wet conditions",65,"Improve road drainage|Add hydroplaning warning signs|Install textured pavement"
highway,hazard,nightClear,90,120,8,10,"Deer collision risk on rural highways","Animal migration patterns|Lack of wildlife crossing signs|Driver fatigue",80,"Install wildlife crossing signs|Add reflective animal deterrents|Implement wildlife detection systems"
residential,infrastructure,dayClear,20,40,4,7,"School zone speed compliance issues","Lack of enforcement|Inadequate signage|Poor visibility",60,"Install speed cameras|Add flashing beacon signs|Improve road markings"
rural,collision,fog,60,90,3,6,"Curve negotiation accidents","Sharp curves|Poor visibility|Inadequate warning signs",72,"Install advanced curve warning signs|Add reflective markers|Improve roadside clearing"
arterial,collision,dayClear,50,70,7,9,"Intersection collision risk","Running red lights|Improper turns|Inadequate signal timing",68,"Install red-light cameras|Optimize signal timing|Add turn lanes"
highway,infrastructure,dayClear,100,120,9,10,"Pothole and road surface damage","Heavy truck traffic|Inadequate maintenance|Weather wear",65,"Implement regular maintenance schedules|Use durable road materials|Add weight restrictions"
residential,hazard,nightRain,25,45,5,8,"Bicycle and pedestrian accidents","Poor lighting|Lack of bike lanes|Distracted driving",75,"Install better street lighting|Add bike lanes|Implement traffic calming measures"
